display_ref,candidate_display_ref,hypothesis_id,candidate_id,group_id,parent_scope,path,timeframe,family,direction,state,report_status,requirement_id,parent_family_hypothesis_id,p004_status,p005_status,p005_reason,snapshot_content_sha256,unresolved_reasons
H0001,C0001,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68,2be2e183f8308a112fced403cd3e42b361f8e006ebaca39a2b3749ef3f911688,1mo,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0002,C0001,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68,2be2e183f8308a112fced403cd3e42b361f8e006ebaca39a2b3749ef3f911688,1mo,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0003,C0002,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69,ccad3b5f0bc219064e9c48eea989be21f0978b4b8cbfa211fe5332d010fb75ca,1mo,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0004,C0002,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69:evaluate-as:FLAT,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:66-67-68-69,ccad3b5f0bc219064e9c48eea989be21f0978b4b8cbfa211fe5332d010fb75ca,1mo,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0005,C0003,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70,cfdcdb500a72a550329b8bcb6653e1413fc68043ad9129ba21a014f8d810301b,1mo,parent,1mo,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0006,C0003,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70:evaluate-as:FLAT,nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:67-68-69-70,cfdcdb500a72a550329b8bcb6653e1413fc68043ad9129ba21a014f8d810301b,1mo,parent,1mo,FLAT,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0007,C0004,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70:evaluate-as:TRIANGLE,nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70,2c2865d05ccc404c5ef100bbdd52cd90742f0364b6ba3823aaccfd3499a63ca1,1mo,parent,1mo,TRIANGLE,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0008,C0004,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70:evaluate-as:ENDING_DIAGONAL,nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70,2c2865d05ccc404c5ef100bbdd52cd90742f0364b6ba3823aaccfd3499a63ca1,1mo,parent,1mo,ENDING_DIAGONAL,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,,,,,,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,[]
H0009,C0004,nvda-post-p005:1mo:parent-partial:nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70:evaluate-as:NORMAL_IMPULSE,nvda-post-p005:1mo:generation:FIVE_SEGMENT_HYPOTHESIS:65-66-67-68-69-70,2c2865d05ccc404c5ef100bbdd52cd90742f0364b6ba3823aaccfd3499a63ca1,1mo,parent,1mo,NORMAL_IMPULSE_PARTIAL,DOWN,P004_VIOLATED_STRUCTURALLY_INVALID_HYPOTHESIS,REJECTED_EXACT_HYPOTHESIS_P004,,,RULE_VIOLATED,UNRESOLVED,DEVELOPING_REQUIRED_ENDPOINT,5f2964509cad42f6d529e95e3033fef1820532f5bf7ce1e2f45a2eadbf4090f6,"[""P005_UNRESOLVED_METHODOLOGY_DEPENDENCY"", ""P006_UNRESOLVED_METHODOLOGY_DEPENDENCY_CONFLICT"", ""COMPLETE_FAMILY_VALIDATION_UNAVAILABLE""]"
H0010,C0005,nvda-post-p005:1mo:child-families:child:3:nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3:evaluate-as:SINGLE_ZIGZAG,nvda-post-p005:1mo:children:nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1:neutral-children:THREE_SEGMENT_HYPOTHESIS:0-1-2-3,1fcd833260d2a8f32c87dd03c79f1d2f9e98548298434412b931dba4cb1d38d7,1mo,child,1wk,SINGLE_ZIGZAG,NOT_ASSIGNED,CURRENT_SUPPLIED_SCOPE_REVIEWED,,nvda-post-p005:1mo:internals:nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT:child:1,nvda-post-p005:1mo:families:nvda-post-p005:1mo:generation:THREE_SEGMENT_HYPOTHESIS:65-66-67-68:evaluate-as:FLAT,,,,b6695aa0b692a8bb16c8c76e31e16abbe78598c3fcfc9d3e34d31be7ca71dc4e,[]
